Transaction ID,Date,Time,Amount,Merchant,Card Number,Transaction Type
84,2023-03-25,14:03:44,80.98103224709322,Amazon,5569,purchase
85,2023-03-26,11:08:53,517.6201390519415,Walmart,5646,refund
86,2023-03-27,15:19:13,755.3510726044889,Amazon,9524,purchase
87,2023-03-28,17:25:56,33.241014917873585,Amazon,2174,purchase
88,2023-03-29,22:42:37,457.23090566529623,Target,7276,purchase
89,2023-03-30,23:25:55,824.9729079090322,Walmart,2426,purchase
90,2023-03-31,13:31:22,668.9372419381274,Target,1010,refund
91,2023-04-01,18:28:29,546.3716788714366,Amazon,9498,purchase
92,2023-04-02,23:59:44,589.2228978902203,Target,6085,purchase
93,2023-04-03,21:02:31,896.5835195225167,Best Buy,3771,refund
94,2023-04-04,21:18:13,575.502734633658,Best Buy,1003,purchase
95,2023-04-05,06:52:57,422.3974010656587,Target,8176,refund
96,2023-04-06,03:50:24,703.2487590769134,Target,8130,purchase
97,2023-04-07,00:40:18,357.8502166879988,Target,2618,purchase
98,2023-04-08,03:34:03,972.9388316090501,Target,8748,purchase
99,2023-04-09,21:52:58,872.4302073728129,Target,7506,refund
100,2023-04-10,10:03:43,157.49683787274122,Best Buy,8517,purchase
101,2023-04-11,17:06:10,684.4416025771789,Walmart,4107,refund
102,2023-04-12,01:48:41,35.036694539675786,Target,5666,purchase
103,2023-04-13,15:48:14,885.3220671104548,Walmart,5739,purchase
104,2023-04-14,20:44:19,845.0087300169066,Target,3246,purchase
105,2023-04-15,03:57:34,510.61787193399437,Walmart,8234,refund
106,2023-04-16,14:25:39,128.56095289913026,Best Buy,2719,purchase
107,2023-04-17,10:17:53,621.8515632016951,Amazon,7587,refund
108,2023-04-18,06:28:30,240.09766714559493,Walmart,6795,purchase
109,2023-04-19,08:49:45,631.240196001187,Best Buy,6379,refund
110,2023-04-20,17:56:10,694.0519667736546,Walmart,4058,purchase
111,2023-04-21,22:22:57,107.14865502426508,Best Buy,3882,purchase
112,2023-04-22,15:39:16,477.4689458104528,Amazon,6630,refund
113,2023-04-23,06:28:26,586.0077877540404,Best Buy,1583,purchase
114,2023-04-24,10:15:50,254.3720820446292,Target,4082,refund
115,2023-04-25,21:51:36,201.8092755800729,Target,6311,purchase
116,2023-04-26,21:55:28,638.2178937673593,Walmart,8547,purchase
117,2023-04-27,22:11:44,760.9828215395072,Target,6497,refund
118,2023-04-28,19:40:38,359.7515441278545,Target,9197,refund
119,2023-04-29,09:25:20,709.1886597956412,Amazon,8464,purchase
120,2023-04-30,21:58:48,587.787932715888,Target,9628,refund
121,2023-05-01,09:18:58,809.783788474098,Target,4521,purchase
122,2023-05-02,22:36:51,204.86798946879864,Walmart,1389,refund
123,2023-05-03,02:18:06,796.6003685939637,Target,9424,purchase
124,2023-05-04,05:12:08,267.1414943187649,Target,2610,purchase
125,2023-05-05,03:47:20,298.966156468211,Best Buy,9530,purchase
126,2023-05-06,19:03:47,978.1940014139744,Best Buy,3492,refund
127,2023-05-07,12:41:03,46.96756316586914,Walmart,7463,refund
128,2023-05-08,01:05:12,190.56386290955194,Walmart,7779,refund
129,2023-05-09,14:03:06,521.3539203564205,Walmart,9489,refund
130,2023-05-10,20:02:10,376.61827661395256,Target,6661,refund
131,2023-05-11,06:02:32,242.85760857757006,Target,3748,purchase
132,2023-05-12,16:35:15,684.8681864081764,Target,5916,refund
133,2023-05-13,02:13:17,669.5677268065651,Target,5633,refund
134,2023-05-14,14:43:26,963.7772540536373,Target,1659,refund
135,2023-05-15,11:20:00,878.7217745435609,Target,9032,refund
136,2023-05-16,04:20:20,997.4386914303863,Best Buy,9795,refund
137,2023-05-17,19:33:01,363.52510874629127,Walmart,4226,refund
138,2023-05-18,15:04:28,46.18925559464118,Walmart,8736,refund
139,2023-05-19,19:11:09,325.9715108418525,Target,8480,refund
140,2023-05-20,19:01:13,497.4178338593107,Amazon,4868,refund
141,2023-05-21,11:48:32,173.02351171186618,Best Buy,4031,refund
142,2023-05-22,05:26:48,85.9909989586575,Walmart,9658,refund
143,2023-05-23,19:35:57,453.27613022865165,Best Buy,1961,purchase
144,2023-05-24,04:49:00,932.7328660123572,Target,7741,purchase
145,2023-05-25,00:31:53,763.4018425347396,Best Buy,4362,refund
146,2023-05-26,14:28:06,312.17458242382895,Walmart,9797,refund
147,2023-05-27,03:43:49,888.7268795522136,Best Buy,6869,purchase
148,2023-05-28,03:51:47,697.5770183268468,Best Buy,3018,refund
149,2023-05-29,09:51:29,463.88067273976907,Amazon,4867,refund
150,2023-05-30,02:48:08,265.3549101600334,Best Buy,1391,purchase
151,2023-05-31,04:19:48,575.9583544220836,Walmart,9140,purchase
152,2023-06-01,10:39:55,195.7061028229288,Walmart,8517,purchase
153,2023-06-02,16:42:35,741.4904342442754,Walmart,4748,refund
154,2023-06-03,10:36:54,936.9909519787077,Walmart,5262,refund
155,2023-06-04,00:07:49,659.6085985615603,Target,9284,purchase
156,2023-06-05,12:01:35,725.2690999491704,Amazon,7359,refund
157,2023-06-06,20:37:33,165.32392328207837,Target,4988,refund
158,2023-06-07,09:34:48,748.4757443057028,Walmart,1781,refund
159,2023-06-08,10:34:00,497.85948249329016,Best Buy,5205,refund
160,2023-06-09,04:42:55,88.29530714716314,Walmart,4561,refund
161,2023-06-10,04:25:12,387.0609588817296,Walmart,5154,purchase
162,2023-06-11,07:48:06,729.7186659719019,Amazon,3609,purchase
163,2023-06-12,22:48:47,578.6321387927946,Amazon,5369,purchase
164,2023-06-13,04:11:55,307.0762685462834,Best Buy,9497,purchase
165,2023-06-14,22:13:03,988.7602540895848,Target,4001,purchase
166,2023-06-15,14:36:13,574.4578077886903,Walmart,5810,purchase
167,2023-06-16,17:50:23,945.004243043524,Amazon,3906,purchase
168,2023-06-17,03:04:12,560.2144570634421,Best Buy,8437,purchase
169,2023-06-18,04:22:21,565.1018690577199,Walmart,5961,purchase
170,2023-06-19,15:56:08,52.11926735386998,Target,3541,refund
171,2023-06-20,12:13:06,104.97468759931922,Target,7401,purchase
172,2023-06-21,01:25:03,614.8236250432933,Amazon,6600,refund
173,2023-06-22,09:44:10,731.9020795736309,Target,1838,refund
174,2023-06-23,00:29:00,244.78839552788938,Best Buy,4362,purchase
175,2023-06-24,15:21:10,964.0117501418064,Amazon,7702,purchase
176,2023-06-25,03:29:39,741.4968360562129,Walmart,7490,purchase
177,2023-06-26,19:49:42,238.77326621298855,Amazon,9849,purchase
178,2023-06-27,13:16:45,644.7758610910271,Best Buy,6388,refund
179,2023-06-28,05:36:05,340.4166231433969,Best Buy,7000,purchase
180,2023-06-29,00:46:15,727.7532593580574,Target,5023,refund
181,2023-06-30,23:28:43,585.0079843112344,Walmart,7809,purchase
182,2023-07-01,08:32:32,756.8970635920942,Best Buy,9508,purchase
183,2023-07-02,22:04:24,252.21232420123485,Target,1998,refund
184,2023-07-03,19:58:12,932.3630133329626,Walmart,8268,purchase
185,2023-07-04,09:25:30,993.0083131636438,Walmart,8782,refund
186,2023-07-05,12:59:34,165.36818693627603,Best Buy,8895,refund
187,2023-07-06,07:57:31,513.3924177381662,Walmart,7735,refund
188,2023-07-07,17:28:05,863.6127422685554,Walmart,6383,refund
189,2023-07-08,04:26:37,348.3502906768256,Target,6954,refund
190,2023-07-09,18:06:20,243.3946892842973,Amazon,2300,refund
191,2023-07-10,20:41:38,731.3341439652294,Walmart,9669,refund
192,2023-07-11,17:30:03,977.5403053874458,Target,1288,refund
193,2023-07-12,23:52:51,504.2440709390324,Target,4475,purchase
194,2023-07-13,09:26:49,393.03813818575117,Target,7124,refund
195,2023-07-14,12:07:51,392.54093257370215,Best Buy,4052,refund
196,2023-07-15,19:25:39,794.7119525923147,Best Buy,4606,purchase
197,2023-07-16,04:53:02,706.3549462068466,Amazon,1086,refund
198,2023-07-17,08:17:24,319.5984091076618,Best Buy,3540,refund
199,2023-07-18,23:35:17,974.6140674888759,Target,7373,refund
200,2023-07-19,10:40:29,891.6889064874504,Target,7716,refund
201,2023-07-20,22:37:55,701.2271354765853,Amazon,7818,refund
202,2023-07-21,21:12:03,441.336415411235,Target,9765,purchase
203,2023-07-22,22:58:47,208.08868417576562,Best Buy,2062,refund
204,2023-07-23,16:53:29,665.2997374434299,Target,6084,purchase
205,2023-07-24,00:35:21,754.1361761819752,Amazon,9880,refund
206,2023-07-25,12:35:53,604.4734694179778,Amazon,5514,purchase
207,2023-07-26,01:04:46,496.12116359087645,Amazon,1145,refund
208,2023-07-27,11:34:50,118.92352313005273,Walmart,7708,purchase
209,2023-07-28,22:25:48,784.9458387895268,Best Buy,9333,purchase
210,2023-07-29,20:58:43,492.09983574234604,Amazon,5113,purchase
211,2023-07-30,22:48:39,854.2607701645136,Walmart,4871,refund
212,2023-07-31,01:26:21,135.68382704395233,Best Buy,2557,purchase
213,2023-08-01,12:02:29,965.1242949523155,Walmart,5322,purchase
214,2023-08-02,21:16:18,491.70984007491023,Best Buy,8789,purchase
215,2023-08-03,11:55:14,73.27801805074115,Best Buy,1943,refund
216,2023-08-04,19:39:04,280.8336345575314,Best Buy,2190,purchase
217,2023-08-05,19:55:13,902.6776268935125,Amazon,2183,purchase
218,2023-08-06,17:42:00,334.6839306825614,Best Buy,2860,refund
219,2023-08-07,19:33:19,970.108024688227,Walmart,3469,purchase
220,2023-08-08,13:09:54,444.67728784535757,Target,5675,refund
221,2023-08-09,20:32:05,367.67919819659556,Target,3069,refund
222,2023-08-10,00:14:54,789.9798441086874,Best Buy,3197,refund
223,2023-08-11,17:36:53,467.652287761668,Amazon,3370,purchase
224,2023-08-12,13:23:28,76.49099563030741,Best Buy,5325,refund
225,2023-08-13,08:22:22,829.012065297882,Walmart,7074,purchase
226,2023-08-14,09:08:24,790.6718273943238,Target,6024,refund
227,2023-08-15,07:26:53,515.4779215961496,Walmart,3659,purchase
228,2023-08-16,10:50:41,10.673633668263133,Walmart,7742,refund
229,2023-08-17,16:33:21,137.22065034670715,Target,7405,purchase
230,2023-08-18,22:00:24,712.2785861016408,Amazon,4721,purchase
231,2023-08-19,19:09:15,591.2666923729792,Walmart,7262,refund
232,2023-08-20,22:48:08,700.3444570144194,Target,5417,purchase
233,2023-08-21,01:40:04,361.5735381615038,Amazon,7845,purchase
234,2023-08-22,09:53:40,629.7473315160546,Walmart,5331,purchase
235,2023-08-23,11:48:41,435.39180978105594,Walmart,5229,refund
236,2023-08-24,23:58:59,414.3872191492783,Walmart,5292,refund
237,2023-08-25,15:53:11,415.61758522062735,Walmart,1019,refund
238,2023-08-26,16:04:12,33.02356316526756,Best Buy,3982,purchase
239,2023-08-27,22:24:35,61.9340117747923,Amazon,9181,refund
240,2023-08-28,06:11:42,849.4698445972509,Walmart,3807,refund
241,2023-08-29,23:14:57,695.8300144010507,Target,9845,refund
242,2023-08-30,14:35:13,231.18128993048288,Best Buy,9203,refund
243,2023-08-31,15:09:05,119.00857497310102,Target,6478,refund
244,2023-09-01,22:16:52,41.66955223287343,Target,9758,purchase
245,2023-09-02,05:49:49,480.22744620157704,Amazon,3344,refund
246,2023-09-03,00:42:42,588.3791580309271,Target,1515,refund
247,2023-09-04,06:16:37,898.0579802042796,Best Buy,9695,purchase
248,2023-09-05,07:04:44,920.3514825854721,Walmart,8869,refund
249,2023-09-06,21:51:49,366.87807532660935,Walmart,2154,purchase
250,2023-09-07,12:53:22,930.9086149935545,Target,2991,purchase
251,2023-09-08,03:13:25,546.2335609565039,Amazon,4886,refund
252,2023-09-09,18:11:23,574.5178036216047,Amazon,6234,refund
253,2023-09-10,16:57:53,179.45700271845857,Walmart,1721,purchase
254,2023-09-11,06:16:11,116.74559189103832,Walmart,4676,purchase
255,2023-09-12,15:05:55,245.13169639698557,Target,5686,refund
256,2023-09-13,09:13:21,125.16460499705383,Amazon,4512,purchase
257,2023-09-14,21:50:33,224.0683779845938,Target,7662,purchase
258,2023-09-15,23:09:09,540.2735643861076,Walmart,9781,purchase
259,2023-09-16,12:28:09,868.3867290933202,Walmart,2339,purchase
260,2023-09-17,23:27:46,795.1927984524289,Target,3415,purchase
261,2023-09-18,22:10:35,33.32387632823821,Amazon,8883,purchase
262,2023-09-19,22:50:49,698.8588523209385,Walmart,1934,purchase
263,2023-09-20,23:45:32,47.744996323951796,Walmart,4206,purchase
264,2023-09-21,04:32:43,998.0274607124492,Amazon,2907,purchase
265,2023-09-22,06:53:05,784.3302359435734,Walmart,7854,refund
266,2023-09-23,15:31:53,232.15039778118484,Amazon,5928,refund
267,2023-09-24,17:36:58,490.6201547205327,Amazon,1323,purchase
268,2023-09-25,10:12:16,744.357129721935,Walmart,4141,purchase
269,2023-09-26,18:29:36,839.9667176900999,Target,9559,refund
270,2023-09-27,19:56:26,229.6285328089577,Walmart,1061,refund
271,2023-09-28,15:58:28,134.81494181229087,Walmart,6435,purchase
272,2023-09-29,02:08:24,931.1455159745881,Walmart,1208,refund
273,2023-09-30,20:05:08,671.0908942887893,Best Buy,9665,purchase
274,2023-10-01,11:42:59,876.4086063665393,Walmart,9697,purchase
275,2023-10-02,07:11:47,233.15077114715783,Target,5062,purchase
276,2023-10-03,12:33:12,129.56791736354234,Target,8371,purchase
277,2023-10-04,02:32:24,350.9748604073067,Target,8144,refund
278,2023-10-05,07:42:21,253.44723451901226,Amazon,5385,purchase
279,2023-10-06,17:22:31,73.68133056094493,Best Buy,2305,purchase
280,2023-10-07,00:36:35,644.8346240219474,Best Buy,5788,refund
281,2023-10-08,01:18:00,251.96074954174208,Target,5784,purchase
282,2023-10-09,15:29:11,450.7742447602961,Best Buy,6748,purchase
283,2023-10-10,07:08:07,289.0122528160215,Amazon,6672,purchase
284,2023-10-11,14:30:37,921.2710162106008,Walmart,1946,purchase
285,2023-10-12,10:33:28,450.7589549136663,Target,3750,refund
286,2023-10-13,02:48:20,879.9768305441971,Best Buy,4371,purchase
287,2023-10-14,16:45:43,44.97234593090008,Target,6751,purchase
288,2023-10-15,22:25:04,536.2661177546823,Target,8978,refund
289,2023-10-16,12:08:43,453.2777659302932,Target,7626,purchase
290,2023-10-17,15:03:00,326.7915746555929,Target,8910,purchase
291,2023-10-18,16:00:25,300.889268556598,Walmart,6269,purchase
292,2023-10-19,12:44:16,267.5213698870381,Target,9084,refund
293,2023-10-20,21:33:02,200.33000394308908,Best Buy,8514,refund
294,2023-10-21,05:49:10,493.13980024600573,Best Buy,5515,refund
295,2023-10-22,02:38:20,345.79263326413525,Amazon,9091,purchase
296,2023-10-23,14:35:48,331.26992915002006,Amazon,3691,refund
297,2023-10-24,12:56:54,67.14096529310127,Best Buy,4033,refund
298,2023-10-25,06:30:18,14.851181257480262,Target,8036,purchase
299,2023-10-26,13:49:07,911.7450990771435,Best Buy,1516,refund
300,2023-10-27,09:16:55,414.3446703840618,Amazon,5489,purchase
301,2023-10-28,03:23:52,677.367494790956,Target,6060,purchase
302,2023-10-29,04:42:37,452.9465660418562,Best Buy,7817,purchase
303,2023-10-30,16:00:00,201.4370330148829,Walmart,3993,purchase
304,2023-10-31,07:43:04,929.5457115131334,Best Buy,4095,purchase
305,2023-11-01,12:17:19,123.53932135126072,Amazon,2801,refund
306,2023-11-02,10:55:35,481.8938538170843,Best Buy,6959,purchase
307,2023-11-03,10:20:12,92.63636839570928,Target,9093,purchase
308,2023-11-04,14:29:01,230.046817885475,Best Buy,9341,purchase
309,2023-11-05,17:25:46,685.7295177750642,Amazon,2488,refund
310,2023-11-06,09:15:54,526.886126729427,Best Buy,1590,refund
311,2023-11-07,22:07:48,550.5044547670376,Target,3003,refund
312,2023-11-08,15:04:14,832.4066221878505,Best Buy,8717,refund
313,2023-11-09,02:06:41,61.71737814712821,Amazon,4674,purchase
314,2023-11-10,07:44:27,904.9218811731869,Walmart,4218,purchase
315,2023-11-11,03:04:19,651.5763350065323,Best Buy,4562,purchase
316,2023-11-12,18:24:35,641.2664186572671,Best Buy,1331,refund
317,2023-11-13,05:54:26,31.177992021020803,Amazon,5473,purchase
318,2023-11-14,01:30:10,910.1625441813925,Amazon,8966,purchase
319,2023-11-15,13:31:31,28.954009168199928,Best Buy,6142,purchase
320,2023-11-16,13:33:18,186.2625219576932,Amazon,3324,refund
321,2023-11-17,22:52:37,896.0152808935686,Amazon,9809,refund
322,2023-11-18,19:17:14,127.60094357129061,Target,6199,purchase
323,2023-11-19,05:03:51,398.5901692985366,Best Buy,6537,refund
324,2023-11-20,02:42:04,760.2891521611779,Best Buy,4405,refund
325,2023-11-21,06:28:34,563.384494489605,Walmart,8217,purchase
326,2023-11-22,18:27:57,730.7475741517329,Walmart,3794,refund
327,2023-11-23,07:37:59,193.6532539168052,Amazon,9807,purchase
328,2023-11-24,06:57:05,412.6403909901265,Amazon,2324,refund
329,2023-11-25,03:13:10,498.8897096426526,Best Buy,8916,refund
330,2023-11-26,15:12:42,244.37990113623775,Walmart,9810,refund
331,2023-11-27,21:20:53,997.9196069111069,Best Buy,7401,purchase
332,2023-11-28,20:42:24,671.444458797867,Best Buy,6376,refund
333,2023-11-29,08:50:38,883.8956572328752,Best Buy,3970,purchase
334,2023-11-30,05:08:11,393.5738080826013,Walmart,1478,purchase
335,2023-12-01,04:04:32,924.914976525091,Best Buy,5010,refund
336,2023-12-02,23:56:19,252.37512946913012,Walmart,1853,refund
337,2023-12-03,03:17:14,158.72598639034175,Walmart,9047,purchase
338,2023-12-04,23:01:05,787.0731672879834,Amazon,9786,refund
339,2023-12-05,17:22:50,973.0436161245867,Best Buy,4548,purchase
340,2023-12-06,20:32:09,62.9737847010555,Walmart,8742,purchase
341,2023-12-07,15:43:40,100.90267431848855,Amazon,8163,purchase
342,2023-12-08,23:15:25,318.57997147161933,Amazon,7833,refund
343,2023-12-09,13:19:53,526.4249876517312,Walmart,8359,refund
344,2023-12-10,18:43:18,704.5670226371873,Target,1615,refund
345,2023-12-11,18:27:19,955.594997997902,Amazon,8817,refund
346,2023-12-12,04:15:52,118.70191829567112,Walmart,7212,refund
347,2023-12-13,17:47:02,356.9586667169175,Amazon,3842,purchase
348,2023-12-14,03:58:17,267.01770443739275,Target,4892,purchase
349,2023-12-15,01:38:16,807.6111086729147,Best Buy,4179,refund
350,2023-12-16,03:20:03,164.39523597298904,Walmart,4229,purchase
351,2023-12-17,20:24:38,876.9627310195831,Best Buy,4969,purchase
352,2023-12-18,06:36:01,773.936695297161,Amazon,3575,purchase
353,2023-12-19,11:47:19,883.9348190834442,Target,4489,purchase
354,2023-12-20,22:44:18,969.1985867918147,Target,1672,refund
355,2023-12-21,14:31:20,573.8704939033192,Amazon,1765,refund
356,2023-12-22,10:09:49,458.9540220112926,Walmart,7885,refund
357,2023-12-23,23:30:31,485.5455028607937,Walmart,1197,purchase
358,2023-12-24,02:21:12,895.617421270639,Amazon,8670,refund
359,2023-12-25,18:29:24,209.47464617639872,Target,8738,refund
360,2023-12-26,09:50:28,375.97508139551104,Best Buy,5469,purchase
361,2023-12-27,17:20:44,641.4917987878082,Target,8047,purchase
362,2023-12-28,18:51:29,716.3166159058895,Target,7142,purchase
363,2023-12-29,02:08:54,57.315789956900055,Target,3974,refund
364,2023-12-30,07:53:56,978.1755819255478,Amazon,7569,purchase
365,2023-12-31,06:38:25,332.12047003451875,Best Buy,8176,purchase
366,2024-01-01,07:29:41,206.85747388413503,Target,4693,refund
367,2024-01-02,21:14:33,307.8657777982112,Amazon,4541,purchase
368,2024-01-03,12:37:43,984.787699997103,Walmart,6169,purchase
369,2024-01-04,18:29:49,668.9085795241049,Walmart,5468,refund
370,2024-01-05,05:22:41,246.032664108364,Target,3651,purchase
371,2024-01-06,06:04:35,201.89492187053693,Target,4248,purchase
372,2024-01-07,10:11:01,75.82027067986128,Best Buy,8641,refund
373,2024-01-08,00:44:39,363.85076463894,Target,7813,purchase
374,2024-01-09,21:18:43,823.9294071027612,Walmart,5679,refund
375,2024-01-10,19:34:46,276.14983843932185,Amazon,2562,purchase
376,2024-01-11,08:40:22,369.1224701077464,Amazon,4470,refund
377,2024-01-12,18:56:41,761.6752566923392,Best Buy,6246,purchase
378,2024-01-13,23:36:17,696.250911956373,Amazon,7280,purchase
379,2024-01-14,08:34:17,413.02111588542937,Best Buy,4111,purchase
380,2024-01-15,11:00:06,165.15499720804488,Target,8447,refund
381,2024-01-16,00:14:11,893.8789830934384,Amazon,4917,purchase
382,2024-01-17,01:23:48,575.4866490705209,Best Buy,9232,purchase
383,2024-01-18,05:36:17,257.5110486363922,Best Buy,1857,refund
384,2024-01-19,11:05:20,237.5532465862495,Target,9990,refund
385,2024-01-20,15:18:02,448.93728756399076,Walmart,2449,purchase
386,2024-01-21,20:38:25,403.7440346253637,Amazon,3896,purchase
387,2024-01-22,06:07:16,69.81157405717188,Target,2404,refund
388,2024-01-23,10:36:52,943.1992969283955,Amazon,3878,purchase
389,2024-01-24,22:47:12,787.1671896576651,Walmart,4915,refund
390,2024-01-25,09:38:55,497.0515806231105,Amazon,6959,refund
391,2024-01-26,22:56:10,327.5758228402125,Best Buy,6734,purchase
392,2024-01-27,00:23:04,182.29484398386478,Amazon,7587,refund
393,2024-01-28,22:03:23,167.1232804385802,Best Buy,9864,purchase
394,2024-01-29,18:13:19,241.2499052273972,Walmart,7985,purchase
395,2024-01-30,19:18:44,221.30777143350073,Best Buy,1753,purchase
396,2024-01-31,14:20:54,709.9908369832051,Target,9959,purchase
397,2024-02-01,17:25:29,769.8641289588246,Best Buy,7120,purchase
398,2024-02-02,14:37:48,364.1182829838465,Best Buy,3960,purchase
399,2024-02-03,05:17:35,160.23431343839104,Target,6671,refund
400,2024-02-04,12:54:59,645.0896055880212,Best Buy,1421,refund
401,2024-02-05,10:03:29,333.4981553960989,Best Buy,6626,purchase
402,2024-02-06,02:13:30,932.3169537902834,Target,8427,refund
403,2024-02-07,16:33:38,788.8722998070243,Best Buy,4555,purchase
404,2024-02-08,21:57:53,987.7706309257333,Best Buy,5611,purchase
405,2024-02-09,14:11:55,887.4756990215692,Amazon,5619,refund
406,2024-02-10,19:48:19,6.309725264814968,Amazon,2134,purchase
407,2024-02-11,05:22:20,61.27500836760745,Best Buy,4582,refund
